uid,frequency,intensity
423,1501.0088,20.5759
423,1532.6975,277.6326
423,1569.3697,83.3145
423,1583.7787,113.6383
423,3068.0645,4.0413
423,3072.6381,1.8269
423,3088.6618,0.2102
423,3102.7652,0.552
423,3105.4808,0.2657
423,3113.256,2.9227
423,3560.2669,367.2926
423,3568.2996,135.134
421,95.1117,0.52
421,167.4121,11.0591
421,201.2668,0.0
421,254.9218,4.2684
421,263.1883,9.3328
421,358.9232,0.0
421,438.7448,0.0
421,444.7981,0.0
421,473.489,187.5894
421,491.7014,0.0
421,505.4233,0.0
421,507.7212,16.0474
421,522.2639,0.0
421,529.6531,50.2037
421,543.3126,26.0805
421,651.8733,0.0
421,678.2944,2.3723
421,723.8367,0.0
421,774.3578,14.8752
421,776.7117,125.5544
421,814.2389,0.0
421,860.0199,0.0
421,906.004,0.0
421,908.6904,0.306
421,949.4419,35.555
421,981.7561,0.1302
421,983.7321,0.0
421,1068.4557,6.7673
421,1087.6977,0.0
421,1108.0261,0.0
421,1164.0421,58.1257
421,1176.5747,0.0
421,1176.857,399.9838
421,1221.2232,0.0
421,1250.6675,102.471
421,1320.545,401.2863
421,1326.4579,0.0
421,1386.8716,0.0
421,1389.3867,61.9907
421,1441.005,0.0
421,1457.4458,250.3495
421,1460.4642,0.0
421,1520.6746,245.9944
421,1536.8997,0.0
421,1544.987,130.2114
421,1596.9151,0.0
421,3073.1494,3.9234
421,3073.3677,0.0
421,3098.9766,0.107
421,3099.0834,0.0
421,3114.9925,0.0
421,3115.3086,4.6373
421,3560.635,517.4806
421,3563.3116,0.0
419,114.4296,2.1808
419,132.7648,0.0
419,185.5346,12.9073
419,264.0186,4.0123
419,335.131,0.0
419,342.6799,0.4697
419,397.4224,31.1604
419,444.7782,3.4065
419,451.7165,0.0
419,461.3129,0.8698
419,499.0732,196.351
419,505.9329,0.0
419,543.7428,0.1059
419,564.5035,19.9539
419,611.3279,11.6604
419,635.5507,0.0
419,700.9986,1.576
419,743.2327,20.8042
419,745.2687,0.0
419,768.4172,106.6916
419,797.5816,0.0487
419,807.539,22.0665
419,896.3171,0.0
419,919.9707,0.0
419,977.168,0.6445
419,1008.5101,0.0
419,1030.223,0.6512
419,1065.6691,2.3032
419,1066.7638,40.0135
419,1119.1171,22.4345
419,1165.075,0.0465
419,1175.4684,14.8701
419,1186.3965,97.5878
419,1199.1995,215.6929
419,1249.5252,81.5445
419,1325.2999,264.3832
419,1342.2634,8.2747
419,1376.9621,71.95
419,1410.2319,21.651
419,1424.2758,0.0136
419,1459.3426,11.8032
419,1475.1376,150.2972
419,1503.8634,286.225
419,1545.309,17.6545
419,1567.421,22.3709
419,1610.2341,13.2356
419,3072.0425,2.4379
419,3083.2352,1.3977
419,3089.8274,0.7146
419,3099.7811,0.2127
419,3110.416,1.6559
419,3112.766,0.3718
419,3555.6931,251.8087
419,3557.6986,204.2489
4374,135.0074,2.6507
4374,170.8227,0.0
4374,344.3966,26.1745
4374,345.9454,0.9422
4374,347.8119,0.0
4374,356.8467,0.0
4374,391.4718,0.0
4374,424.5607,0.0
4374,494.9786,0.0
4374,584.001,7.4805
4374,682.0493,0.0
4374,738.3839,98.6472
4374,753.6918,0.0
4374,756.3225,0.0
4374,787.554,0.1395
4374,888.7272,0.0
4374,893.9468,0.0
4374,971.7297,0.0
4374,986.5332,37.0177
4374,994.1267,0.0
4374,995.8707,0.0
4374,1020.8638,0.3539
4374,1027.3381,0.0
4374,1027.9076,0.0
4374,1041.2691,0.0
4374,1060.6101,69.3213
4374,1179.1644,21.7138
4374,1186.6864,0.0
4374,1212.8511,0.0
4374,1224.8856,227.3701
4374,1279.7913,8.2026
4374,1363.3335,0.0
4374,1374.1106,0.0
4374,1396.8445,102.3744
4374,1420.3398,0.0
4374,1449.1114,135.5963
4374,1465.074,241.27
4374,1469.0578,0.0
4374,1568.0809,45.2558
4374,1599.1518,0.0
4374,3077.4219,0.0
4374,3078.4804,0.4211
4374,3079.7358,44.8997
4374,3080.5649,0.0
4374,3096.1362,0.0
4374,3096.1395,42.127
4374,3104.4029,96.2883
4374,3104.6977,0.0
465,104.186,2.2114
465,132.6502,5.1193
465,173.1742,1.2073
465,204.382,0.3188
465,352.0416,2.0194
465,374.2705,1.4075
465,430.7581,0.2886
465,458.2484,10.6133
465,471.1369,2.1832
465,490.4452,0.2173
465,539.0953,1.2056
465,578.6553,0.5157
465,593.4111,0.2529
465,640.0416,0.0108
465,691.8321,3.245
465,740.1099,0.9271
465,777.9763,41.4598
465,789.7895,0.7005
465,807.0551,42.0827
465,854.6291,0.2275
465,871.9376,0.7926
465,914.7575,0.0391
465,945.7273,0.8706
465,966.4198,1.3221
465,981.1455,0.0001
465,1019.6643,1.4549
465,1037.9799,1.2376
465,1082.2474,1.8406
465,1143.5292,0.8587
465,1159.4587,1.6857
465,1165.7239,0.3244
465,1212.3692,4.6823
465,1222.799,2.2126
465,1262.2673,3.7596
465,1340.0037,6.3207
465,1368.5692,5.9375
465,1393.4896,2.4208
465,1441.2927,0.2929
465,1461.5111,0.3557
465,1514.4896,12.3406
465,1579.964,2.7077
465,1596.2395,5.1931
465,1627.5787,0.725
465,2129.5337,33.5141
465,3055.4247,0.4846
465,3059.28,3.1964
465,3066.2629,9.4927
465,3077.0234,10.6869
465,3077.7766,19.8906
465,3085.8954,16.8611
465,3091.3052,8.0862
463,87.4597,1.5445
463,133.4432,4.3781
463,179.1042,1.0389
463,220.9477,3.4263
463,348.7191,2.3073
463,384.1475,0.0979
463,389.9052,0.0681
463,442.1647,0.5707
463,480.3138,12.4605
463,507.5129,0.2039
463,553.6484,1.8034
463,563.3319,1.1728
463,619.5418,2.6802
463,647.9706,1.6272
463,672.7908,0.0352
463,750.5636,25.7787
463,765.6226,0.6562
463,766.3208,0.4765
463,820.8696,30.0544
463,864.7634,15.2531
463,879.618,0.7973
463,902.0284,9.3906
463,943.0432,3.4758
463,954.3714,2.7049
463,956.2853,0.3491
463,977.6374,0.0005
463,1029.8586,1.1813
463,1118.8261,2.3956
463,1150.2223,0.6229
463,1153.5013,1.215
463,1159.0789,3.4737
463,1208.0119,1.1868
463,1247.7222,0.3736
463,1260.2353,8.5994
463,1348.1767,0.4811
463,1370.3049,5.8277
463,1377.5818,2.4354
463,1436.0753,0.5864
463,1469.5087,0.4944
