uid,formula_clean,charge,charge_state,n_lines,CID,MolecularWeight,IUPACName,SMILES,InChIKey,HeavyAtomCount,Charge
420,C10H8O2,0,neutral,54,68462,160.17,"naphthalene-1,7-diol",C1=CC2=C(C=C(C=C2)O)C(=C1)O,ZUVBIBLYOCVYJU-UHFFFAOYSA-N,12,0
420,C10H8O2,0,neutral,54,93552,160.17,"naphthalene-2,6-diol",C1=CC2=C(C=CC(=C2)O)C=C1O,MNZMMCVIXORAQL-UHFFFAOYSA-N,12,0
418,C10H8O2,0,neutral,54,11305,160.17,"naphthalene-1,4-diol",C1=CC=C2C(=C1)C(=CC=C2O)O,PCILLCXFKWDRMK-UHFFFAOYSA-N,12,0
418,C10H8O2,0,neutral,54,7091,160.17,"naphthalene-2,3-diol",C1=CC=C2C=C(C(=CC2=C1)O)O,JRNGUTKWMSBIBF-UHFFFAOYSA-N,12,0
418,C10H8O2,0,neutral,54,6749,160.17,"naphthalene-1,5-diol",C1=CC2=C(C=CC=C2O)C(=C1)O,BOKGTLAJQHTOKE-UHFFFAOYSA-N,12,0
418,C10H8O2,0,neutral,54,8601,160.17,"naphthalene-1,3-diol",C1=CC=C2C(=C1)C=C(C=C2O)O,XOOMNEFVDUTJPP-UHFFFAOYSA-N,12,0
418,C10H8O2,0,neutral,54,11397,160.17,"naphthalene-2,7-diol",C1=CC(=CC2=C1C=CC(=C2)O)O,DFQICHCWIIJABH-UHFFFAOYSA-N,12,0
418,C10H8O2,0,neutral,54,11318,160.17,"naphthalene-1,2-diol",C1=CC=C2C(=C1)C=CC(=C2O)O,NXPPAOGUKPJVDI-UHFFFAOYSA-N,12,0
418,C10H8O2,0,neutral,54,68463,160.17,"naphthalene-1,6-diol",C1=CC2=C(C=CC(=C2)O)C(=C1)O,FZZQNEVOYIYFPF-UHFFFAOYSA-N,12,0
418,C10H8O2,0,neutral,54,68462,160.17,"naphthalene-1,7-diol",C1=CC2=C(C=C(C=C2)O)C(=C1)O,ZUVBIBLYOCVYJU-UHFFFAOYSA-N,12,0
418,C10H8O2,0,neutral,54,93552,160.17,"naphthalene-2,6-diol",C1=CC2=C(C=CC(=C2)O)C=C1O,MNZMMCVIXORAQL-UHFFFAOYSA-N,12,0
359,C10H8,1,cation,48,931,128.17,naphthalene,C1=CC=C2C=CC=CC2=C1,UFWIBTONFRDIAS-UHFFFAOYSA-N,10,0
500,C10H8O,1,cation,51,8663,144.17,naphthalen-2-ol,C1=CC=C2C=C(C=CC2=C1)O,JWAZRIHNYRIHIV-UHFFFAOYSA-N,11,0
500,C10H8O,1,cation,51,7005,144.17,naphthalen-1-ol,C1=CC=C2C(=C1)C=CC=C2O,KJCVRFUGPWSIIH-UHFFFAOYSA-N,11,0
498,C10H8O,1,cation,51,8663,144.17,naphthalen-2-ol,C1=CC=C2C=C(C=CC2=C1)O,JWAZRIHNYRIHIV-UHFFFAOYSA-N,11,0
498,C10H8O,1,cation,51,7005,144.17,naphthalen-1-ol,C1=CC=C2C(=C1)C=CC=C2O,KJCVRFUGPWSIIH-UHFFFAOYSA-N,11,0
476,C10H9N,1,cation,54,8640,143.18,naphthalen-1-amine,C1=CC=C2C(=C1)C=CC=C2N,RUFPHBVGCFYCNW-UHFFFAOYSA-N,11,0
476,C10H9N,1,cation,54,7057,143.18,naphthalen-2-amine,C1=CC=C2C=C(C=CC2=C1)N,JBIJLHTVPXGSAM-UHFFFAOYSA-N,11,0
474,C10H9N,1,cation,54,8640,143.18,naphthalen-1-amine,C1=CC=C2C(=C1)C=CC=C2N,RUFPHBVGCFYCNW-UHFFFAOYSA-N,11,0
474,C10H9N,1,cation,54,7057,143.18,naphthalen-2-amine,C1=CC=C2C=C(C=CC2=C1)N,JBIJLHTVPXGSAM-UHFFFAOYSA-N,11,0
425,C10H8O2,1,cation,54,11305,160.17,"naphthalene-1,4-diol",C1=CC=C2C(=C1)C(=CC=C2O)O,PCILLCXFKWDRMK-UHFFFAOYSA-N,12,0
425,C10H8O2,1,cation,54,7091,160.17,"naphthalene-2,3-diol",C1=CC=C2C=C(C(=CC2=C1)O)O,JRNGUTKWMSBIBF-UHFFFAOYSA-N,12,0
425,C10H8O2,1,cation,54,6749,160.17,"naphthalene-1,5-diol",C1=CC2=C(C=CC=C2O)C(=C1)O,BOKGTLAJQHTOKE-UHFFFAOYSA-N,12,0
425,C10H8O2,1,cation,54,8601,160.17,"naphthalene-1,3-diol",C1=CC=C2C(=C1)C=C(C=C2O)O,XOOMNEFVDUTJPP-UHFFFAOYSA-N,12,0
425,C10H8O2,1,cation,54,11397,160.17,"naphthalene-2,7-diol",C1=CC(=CC2=C1C=CC(=C2)O)O,DFQICHCWIIJABH-UHFFFAOYSA-N,12,0
425,C10H8O2,1,cation,54,11318,160.17,"naphthalene-1,2-diol",C1=CC=C2C(=C1)C=CC(=C2O)O,NXPPAOGUKPJVDI-UHFFFAOYSA-N,12,0
425,C10H8O2,1,cation,54,68463,160.17,"naphthalene-1,6-diol",C1=CC2=C(C=CC(=C2)O)C(=C1)O,FZZQNEVOYIYFPF-UHFFFAOYSA-N,12,0
425,C10H8O2,1,cation,54,68462,160.17,"naphthalene-1,7-diol",C1=CC2=C(C=C(C=C2)O)C(=C1)O,ZUVBIBLYOCVYJU-UHFFFAOYSA-N,12,0
425,C10H8O2,1,cation,54,93552,160.17,"naphthalene-2,6-diol",C1=CC2=C(C=CC(=C2)O)C=C1O,MNZMMCVIXORAQL-UHFFFAOYSA-N,12,0
423,C10H8O2,1,cation,54,11305,160.17,"naphthalene-1,4-diol",C1=CC=C2C(=C1)C(=CC=C2O)O,PCILLCXFKWDRMK-UHFFFAOYSA-N,12,0
423,C10H8O2,1,cation,54,7091,160.17,"naphthalene-2,3-diol",C1=CC=C2C=C(C(=CC2=C1)O)O,JRNGUTKWMSBIBF-UHFFFAOYSA-N,12,0
423,C10H8O2,1,cation,54,6749,160.17,"naphthalene-1,5-diol",C1=CC2=C(C=CC=C2O)C(=C1)O,BOKGTLAJQHTOKE-UHFFFAOYSA-N,12,0
423,C10H8O2,1,cation,54,8601,160.17,"naphthalene-1,3-diol",C1=CC=C2C(=C1)C=C(C=C2O)O,XOOMNEFVDUTJPP-UHFFFAOYSA-N,12,0
